,Unnamed: 0,date,open,high,low,close,adjcp,tic,zopen,zhigh,zlow,zadjcp,zclose,zd_5,zd_10,zd_15,zd_20,zd_25,zd_30
13123,452,2013-10-22,54.650001525878906,54.68000030517578,53.619998931884766,53.619998931884766,42.51452255249024,JPM,0.0192092990397592,0.019768769011681,0.0,-0.2071144461137004,-0.0119771792960418,0.0085788269407238,-0.0093249421911872,-0.0170335316388047,-0.0225827589539169,-0.0249791999534856,-0.0243675889487657
13152,453,2013-10-23,53.310001373291016,53.36000061035156,52.720001220703125,52.75,41.82471084594727,JPM,0.0106161397780286,0.0115639926132997,-0.0005686972378554,-0.2071144863327531,-0.0162252694743607,0.0204738611852848,0.0108056595996914,1.2592616306150717e-05,-0.0051086468862872,-0.009102535302269,-0.0083526927327745
13181,454,2013-10-24,52.84000015258789,52.88999938964844,52.11000061035156,52.47999954223633,41.610633850097656,JPM,0.0068597677875708,0.0078124971606019,-0.0070502845867402,-0.2071144395378837,-0.0051184920903065,0.0191310066815315,0.0159298084392909,0.0058434111253249,0.0009335277353879,-0.0039163555335369,-0.0028557905048947
13210,455,2013-10-25,52.15999984741211,52.90999984741211,52.06999969482422,52.77000045776367,41.8405647277832,JPM,-0.0115596097225695,0.0026530109614171,-0.0132651270962129,-0.2071145657602984,0.0055259321276088,0.0077317326651746,0.0108395840249126,0.0004422339030047,-0.0037028321647941,-0.009120292903528,-0.0079788580126053
13239,456,2013-10-28,52.88999938964844,53.09000015258789,52.5,52.68000030517578,41.76921081542969,JPM,0.0039863151719083,0.0077828368458043,-0.0034168622652437,-0.2071144538067535,-0.0017055173736434,0.0034168168402932,0.0125094570113761,0.0032269642545976,-0.0007024353882004,-0.0062154857899157,-0.0063293541127602
13268,457,2013-10-29,52.83000183105469,52.9900016784668,52.25,52.72999954223633,41.808860778808594,JPM,0.0018964970545516,0.0049308199978688,-0.0091029688299514,-0.207114334500989,0.0009491123153169,-0.000910442774241,0.0123457313916441,0.0046271534405322,-0.0005596699325598,-0.0050505960706727,-0.0072538431316515
13297,458,2013-10-30,53.0,53.2400016784668,52.5,52.59999847412109,41.70577621459961,JPM,0.0076045919673497,0.0121673616523123,-0.0019011117304553,-0.2071144976340897,-0.0024654099989346,0.0009886655155864,0.0121863337686851,0.0094550412383005,0.0023954535838051,-0.0016194357609344,-0.0050658383182021
13326,459,2013-10-31,52.650001525878906,52.709999084472656,51.540000915527344,51.540000915527344,40.86532211303711,JPM,0.0215366820068712,0.0227007789709376,0.0,-0.207114447281166,-0.0201520454247781,0.0179277876451828,0.027822977411924,0.0289483190151458,0.0226231188155181,0.0189365960585288,0.0148633492208567
13355,460,2013-11-01,51.45000076293945,52.709999084472656,51.29999923706055,52.5099983215332,41.63440704345703,JPM,-0.0201865852690203,0.0038088129752889,-0.0230432131622533,-0.2071146757895882,0.0188202830573414,-0.0018660443586847,0.0054277955069583,0.0099412356307357,0.0035805202575358,0.0006111518836453,-0.0038225365525005
13384,461,2013-11-04,52.7400016784668,52.7599983215332,52.0,52.040000915527344,41.26176452636719,JPM,0.0134512058152287,0.0138354610557094,-0.0007686570873101,-0.2071144542571331,-0.008950626947804,0.0046886411937883,0.0102228497805763,0.0182038949543001,0.0128458134979407,0.0102074455712388,0.0057866864931224
13413,462,2013-11-05,51.84999847412109,52.130001068115234,51.65999984741211,51.95000076293945,41.19040298461914,JPM,-0.0019249718450381,0.0034648758909006,-0.0055823082053586,-0.2071144873975842,-0.0017294417948604,0.003426322190865,0.0087584092229011,0.0195059118585421,0.0156400085313539,0.0122424930891122,0.0088112038448759
13442,463,2013-11-06,52.2599983215332,52.34000015258789,51.83000183105469,52.09999847412109,41.30933380126953,JPM,0.0030710144356642,0.0046065582628762,-0.005182277369941,-0.2071144911493894,0.0028873476223052,-0.0013819566249643,0.0046065590210873,0.0141394851636265,0.0140115369904165,0.0093358995304642,0.0064046269364139
13471,464,2013-11-07,52.130001068115234,52.34000015258789,51.58000183105469,51.650001525878906,40.952545166015625,JPM,0.0092933112885935,0.0133591211292272,-0.0013552699468778,-0.20711434741204,-0.0086371777624083,0.007744220464062,0.0117519838918933,0.0196706479881385,0.0220036600187938,0.0179049065787935,0.0152627093404316
13500,465,2013-11-08,51.83000183105469,53.970001220703125,51.79999923706055,53.959999084472656,42.78409576416016,JPM,-0.0394736339799325,0.000185362053376,-0.0400296494451509,-0.2071145943278645,0.0447240559603148,-0.0300220746221735,-0.0293549231543155,-0.0244006455060101,-0.0204038502106979,-0.0247144680879141,-0.0269012977229146
13529,466,2013-11-11,53.90999984741211,54.150001525878906,53.70000076293945,54.09999847412109,42.89509582519531,JPM,-0.0035119895021783,0.0009242708533852,-0.0073936732433176,-0.2071146573929327,0.0025945031879865,-0.0249166273295881,-0.0292419303258817,-0.0271347109077479,-0.0216541102237394,-0.0255598570418825,-0.0277015798505937
